STATEICP,doctoral_count,Estimated_Total_Respondents,Actual_Total_Respondents
1,600,37042.70833333333,37369
2,165,10186.744791666666,14523
3,2014,124340.02430555555,73077
4,244,15064.03472222222,14077
5,177,10927.598958333332,10401
6,131,8087.65798611111,6860
11,152,9384.152777777777,9641
12,1438,88779.02430555555,93166
13,2829,174656.36979166666,203891
14,1620,100015.3125,132605
21,1457,89952.04340277777,128046
22,620,38277.465277777774,69843
23,991,61182.20659722222,101512
24,1213,74888.00868055555,120666
25,513,31671.515625,61967
31,258,15928.364583333332,33586
32,321,19817.848958333332,29940
33,572,35314.04861111111,58984
34,621,38339.203125,64551
35,153,9445.890625,19989
36,60,3704.270833333333,8107
37,71,4383.387152777777,9296
40,1531,94520.64409722222,88761
41,460,28399.409722222223,51580
42,251,15496.199652777777,31288
43,2731,168606.06076388888,217799
44,1451,89581.61631944444,109349
45,450,27782.03125,45040
46,263,16237.053819444443,29796
47,1421,87729.48090277777,109230
48,647,39944.387152777774,54651
49,3216,198548.91666666666,292919
51,448,27658.555555555555,46605
52,1608,99274.45833333333,62442
53,281,17348.335069444445,39445
54,841,51921.52951388888,72374
56,159,9816.317708333332,18135
61,896,55317.11111111111,74153
62,1031,63651.72048611111,59841
63,175,10804.123263888889,19884
64,113,6976.37673611111,11116
65,282,17410.072916666664,30749
66,350,21608.246527777777,20243
67,428,26423.79861111111,35537
68,72,4445.125,5962
71,6336,391171,391171
72,647,39944.387152777774,43708
73,1195,73776.72743055555,80818
81,51,3148.630208333333,6972
82,214,13211.899305555555,14995
98,311,19200.47048611111,6718
